question_id	correct_result	correct_explanation_content	correct_explanation_style
RW_445	yes	not_applicable	not_applicable
RW_446	yes	not_applicable	not_applicable
RW_447	no	not_applicable	not_applicable
RW_448	yes	yes	no
RW_449	no	not_applicable	not_applicable
RW_450	yes	yes	no
RW_451	no	yes	no
RW_452	no	not_applicable	not_applicable
RW_453	yes	not_applicable	not_applicable
RW_454	yes	yes	no
RW_455	yes	not_applicable	not_applicable
RW_456	yes	not_applicable	not_applicable
RW_457	no	not_applicable	not_applicable
RW_458	yes	not_applicable	not_applicable
RW_459	yes	not_applicable	not_applicable
RW_460	no	not_applicable	not_applicable
RW_461	no	not_applicable	not_applicable
RW_462	yes	yes	no
RW_463	yes	not_applicable	not_applicable
RW_464	yes	not_applicable	not_applicable
RW_465	no	yes	yes
RW_466	no	yes	no
RW_467	yes	not_applicable	not_applicable
RW_468	yes	not_applicable	not_applicable
RW_469	yes	not_applicable	not_applicable
RW_470	yes	not_applicable	not_applicable
RW_472	yes	yes	no
RW_473	yes	yes	yes
RW_474	yes	yes	yes
RW_475	yes	not_applicable	not_applicable
RW_476	no	not_applicable	not_applicable
RW_477	no	not_applicable	not_applicable
RW_478	yes	not_applicable	not_applicable
RW_479	yes	not_applicable	not_applicable
RW_480	yes	not_applicable	not_applicable
RW_481	no	yes	no
RW_482	yes	not_applicable	not_applicable
RW_484	yes	not_applicable	not_applicable
RW_485	yes	not_applicable	not_applicable
RW_486	yes	not_applicable	not_applicable
RW_487	yes	not_applicable	not_applicable
RW_488	yes	not_applicable	not_applicable
RW_490	yes	not_applicable	not_applicable
RW_491	yes	not_applicable	not_applicable
RW_493	yes	not_applicable	not_applicable
RW_494	yes	not_applicable	not_applicable
RW_496	yes	not_applicable	not_applicable
RW_497	yes	not_applicable	not_applicable
RW_498	yes	not_applicable	not_applicable
RW_499	yes	not_applicable	not_applicable
RW_500	yes	not_applicable	not_applicable
RW_501	yes	yes	yes
RW_503	no	yes	no
RW_504	yes	not_applicable	not_applicable
RW_505	yes	not_applicable	not_applicable
RW_509	yes	not_applicable	not_applicable
RW_510	no	not_applicable	not_applicable
RW_511	yes	yes	no
RW_512	yes	yes	no
RW_513	yes	not_applicable	not_applicable
RW_514	no	not_applicable	not_applicable
RW_515	no	not_applicable	not_applicable
RW_516	yes	yes	no
RW_517	yes	yes	no
RW_518	partial	yes	no
RW_526	yes	yes	no
RW_528	yes	not_applicable	not_applicable
RW_529	yes	not_applicable	not_applicable
RW_530	yes	not_applicable	not_applicable
RW_531	yes	yes	no
RW_532	yes	not_applicable	not_applicable
RW_533	yes	not_applicable	not_applicable
RW_534	yes	not_applicable	not_applicable
RW_535	yes	not_applicable	not_applicable
RW_536	yes	yes	no
RW_537	yes	not_applicable	not_applicable
RW_538	yes	yes	no
RW_539	yes	not_applicable	not_applicable
RW_540	yes	not_applicable	not_applicable
RW_541	yes	not_applicable	not_applicable
RW_542	yes	not_applicable	not_applicable
RW_543	yes	not_applicable	not_applicable
RW_544	yes	yes	no
RW_545	yes	not_applicable	not_applicable
RW_546	yes	not_applicable	not_applicable
RW_547	yes	not_applicable	not_applicable
RW_548	no	not_applicable	not_applicable
RW_549	no	yes	no
RW_550	yes	not_applicable	not_applicable
RW_551	no	not_applicable	not_applicable
RW_552	yes	not_applicable	not_applicable
RW_553	yes	not_applicable	not_applicable
RW_556	yes	not_applicable	not_applicable
RW_557	yes	yes	yes
RW_558	no	yes	no
RW_559	no	yes	no
RW_560	no	not_applicable	not_applicable
RW_561	no	not_applicable	not_applicable
RW_562	yes	yes	no
RW_563	no	yes	no
RW_564	yes	yes	no
RW_565	no	not_applicable	not_applicable
RW_566	yes	yes	no
RW_567	partial	yes	no
RW_568	partial	yes	no
RW_569	yes	not_applicable	not_applicable
RW_570	yes	not_applicable	not_applicable
RW_571	partial	yes	no
RW_572	no	not_applicable	not_applicable
RW_573	no	not_applicable	not_applicable
RW_574	partial	yes	no
RW_575	yes	not_applicable	not_applicable
RW_576	yes	yes	yes
RW_577	yes	not_applicable	not_applicable
RW_578	yes	not_applicable	not_applicable
RW_579	yes	yes	yes
RW_580	yes	not_applicable	not_applicable
RW_581	yes	not_applicable	not_applicable
RW_583	yes	not_applicable	not_applicable
RW_584	yes	yes	yes
RW_585	yes	not_applicable	not_applicable
RW_586	yes	not_applicable	not_applicable
RW_587	yes	not_applicable	not_applicable
RW_588	yes	not_applicable	not_applicable
RW_590	yes	not_applicable	not_applicable
RW_591	yes	not_applicable	not_applicable
RW_592	yes	not_applicable	not_applicable
RW_593	yes	not_applicable	not_applicable
