id	task_id	language	text
S001_1_1_1	1	Nederlands	Op basis van de beschikbare sequenties, wat zijn de 5 meest voorkomende SARS-CoV-2 lineages in 2022 in Azië?
S001_1_1_2	1	Nederlands	Doorzoek de beschikbare SARS-CoV-2 sequenties uit Azië en rapporteer de 5 meest voorkomende lineages in 2022.
S001_1_1_3	1	Nederlands	Welke 5 SARS-CoV-2 lineages komen vaakst voor in de beschikbare sequenties van 2022 uit Azië?
S001_1_2_1	2	Nederlands	Hoeveel sequenties werden per maand verzameld in Brazilië?
S001_1_2_2	2	Nederlands	Rapporteer het aantal sequenties per maand uit Brazilië.
S001_1_2_3	2	Nederlands	Hoeveel genomen vanuit Brazilië worden maandelijks gesequenced sinds het begin van de pandemie?
S001_1_3_1	3	Nederlands	Rapporteer het aantal B.1.1.7 sequenties per land.
S001_1_3_2	3	Nederlands	Hoeveel B.1.1.7 sequenties zijn er per land?
S001_1_3_3	3	Nederlands	Hoeveel sequenties van de B.1.1.7 variant zijn er beschikbaar per land?
S001_1_4_1	4	Nederlands	Welke mutaties zijn aanwezig in meer dan 90% van de B.1.1.7 sequenties?
S001_1_4_2	4	Nederlands	Doorzoek alle B.1.1.7 sequenties en rapporteer alle mutaties die voorkomen met een frequentie hoger dan 90%.
S001_1_4_3	4	Nederlands	Rapporteer de mutaties die in meer dan 90% van de B.1.1.7 sequenties voorkomen.
S001_1_5_1	5	Nederlands	Hoeveel sequenties hebben zowel de S:N501Y mutatie als één van de volgende mutaties: S:H69- en S:V70-?
S001_1_5_2	5	Nederlands	"Rapporteer het aantal sequenties die de volgende mutaties bevatten:
- S:N501Y 
- S:H69- of S:V70-"
S001_1_5_3	5	Nederlands	Rapporteer het aantal sequenties die de S:N501Y mutatie bevatten samen met de S:H69- mutatie of de S:V70- mutatie.
S001_1_6_1	6	Nederlands	In welke staat in de Verenigde Staten werd de XBB.1 variant voor het eerst gedetecteerd?
S001_1_6_2	6	Nederlands	Rapporteer de Amerikaanse staat waar de XBB.1 variant voor het eerst gedetecteerd werd.
S001_1_6_3	6	Nederlands	In welke Amerikaanse staat werd XBB.1 voor het eerst gevonden?
S001_2_1_1	1	italiano	Vorrei sapere le 5 varianti piu' prevalenti in Asia dal 1 gennaio 2022 al 31 dicembre 2022
S001_2_1_2	1	italiano	Vorrei sapere quali varianti hanno raggiunto singolarmente almeno il 50% in qualsiasi settimana del 2022 in Asia
S001_2_1_3	1	English	i want to find out which are the 5 most prevalent lineages in asia during 2022
S001_2_2_1	2	italiano	Quanto sequenzia il brasile ogni mese ?
S001_2_2_2	2	italiano	Vorrei sapere quante sequenze x millione di abitanti fa il brasile nel 2023
S001_2_2_3	2	English	I want to know the sequencing intensity in Brazil in the past 3 months
S001_2_3_1	3	italiano	Quante sequenze di Alpha sono state trovate in ogni paese?
S001_2_3_2	3	italiano	Vorrei sapere il totale delle sequenze di B.1.1.7 per ogni paese
S001_2_3_3	3	English	How many total samples of Alpha have been sequenced in each country
S001_2_4_1	4	italiano	Voglio sapere le mutazioni presenti almeno nel 90% delle sequenze di Alpha
S001_2_4_2	4	English	I want to know nuc mutations which are present in at least 90% of B.1.1.7 sequences
S001_3_1_1	1	Swiss German (Zurich dialekt)	Welles sind die 5 hüüfigste SARS-CoV-2 Stränge under de vorhandene Sequänze in Asie usem 2022?
S001_3_1_2	1	Swiss German (Zurich dialekt)	Welli 5 SARS-CoV-2 Sträng chömmed in Asie am meiste vor ih de usem 2022 vorhandene Sequänze?
S001_3_1_3	1	Swiss German (Zurich dialekt)	Was fürtigi SARS-CoV-2 Sträng sind die 5 hüüfigste us de Sequänze wo im 2022 z'Asie vorhande sind?
S001_3_2_1	2	Swiss German (Zurich dialekt)	Wieviel Sequänze sind z'Brasilie monatlich gsammled worde?
S001_3_2_2	2	Swiss German (Zurich dialekt)	Wieviel Sequänze sind in Brasilie jede Monat gsammled worde?
S001_3_2_3	2	Swiss German (Zurich dialekt)	Wieviel Sequänze hät me z'Brasilie monatlich gsammled?
S001_3_3_1	3	Swiss German (Zurich dialekt)	Wieviel B.1.1.7 Sequänze gits pro Land ?
S001_3_3_2	3	Swiss German (Zurich dialekt)	Was isch d'Ahzahl ah B.1.1.7 Sequänze wo fü jedes Land gsammled worde isch?
