question_id	task_id	language	ai_response	ai_response_format	sql	data_was_returned	correct
S001_1_1_1	1	Nederlands	"{""sql"":""select lineage, count(*) from metadata where region = 'Asia' and date between '2022-01-01' and '2022-12-31' group by lineage order by count(*) desc limit 5;""}"	json	"select lineage, count(*) from metadata where region = 'Asia' and date between '2022-01-01' and '2022-12-31' group by lineage order by count(*) desc limit 5;"	TRUE	yes
S001_1_1_2	1	Nederlands	"{""sql"":""select lineage, count(*) from metadata where region = 'Asia' and date between '2022-01-01' and '2022-12-31' group by lineage order by count(*) desc limit 5;""}"	json	"select lineage, count(*) from metadata where region = 'Asia' and date between '2022-01-01' and '2022-12-31' group by lineage order by count(*) desc limit 5;"	TRUE	yes
S001_1_1_3	1	Nederlands	"{""sql"":""select lineage, count(*) from metadata where region = 'Asia' and date between '2022-01-01' and '2022-12-31' group by lineage order by count(*) desc limit 5;""}"	json	"select lineage, count(*) from metadata where region = 'Asia' and date between '2022-01-01' and '2022-12-31' group by lineage order by count(*) desc limit 5;"	TRUE	yes
S001_1_2_1	2	Nederlands	"{""sql"":""select date_trunc('month', date) as month, count(*) from metadata where country = 'Brazil' group by month;""}"	json	"select date_trunc('month', date) as month, count(*) from metadata where country = 'Brazil' group by month;"	TRUE	yes
S001_1_2_2	2	Nederlands	"{""sql"":""select date_trunc('month', date) as month, count(*) from metadata where country = 'Brazil' group by month;""}"	json	"select date_trunc('month', date) as month, count(*) from metadata where country = 'Brazil' group by month;"	TRUE	yes
S001_1_2_3	2	Nederlands	"{""sql"":""select date_trunc('month', date) as month, count(*) from metadata where country = 'Brazil' and date >= '2019-12-01' group by month;""}"	json	"select date_trunc('month', date) as month, count(*) from metadata where country = 'Brazil' and date >= '2019-12-01' group by month;"	TRUE	yes
S001_1_3_1	3	Nederlands	"{""sql"":""select country, count(*) from metadata where lineage = 'B.1.1.7' group by country;""}"	json	"select country, count(*) from metadata where lineage = 'B.1.1.7' group by country;"	TRUE	yes
S001_1_3_2	3	Nederlands	"{""sql"":""select country, count(*) from metadata where lineage = 'B.1.1.7' group by country;""}"	json	"select country, count(*) from metadata where lineage = 'B.1.1.7' group by country;"	TRUE	yes
S001_1_3_3	3	Nederlands	"{""sql"":""select country, count(*) from metadata where lineage = 'B.1.1.7' group by country;""}"	json	"select country, count(*) from metadata where lineage = 'B.1.1.7' group by country;"	TRUE	yes
S001_1_4_1	4	Nederlands	"{""sql"":""select mutation, proportion() from aa_mutations where lineage = 'B.1.1.7' group by mutation having proportion() > 0.9;""}"	json	"select mutation, proportion() from aa_mutations where lineage = 'B.1.1.7' group by mutation having proportion() > 0.9;"	TRUE	yes
S001_1_4_2	4	Nederlands	"{""sql"":""select mutation, proportion() from aa_mutations where lineage = 'B.1.1.7' group by mutation having proportion() > 0.9;""}"	json	"select mutation, proportion() from aa_mutations where lineage = 'B.1.1.7' group by mutation having proportion() > 0.9;"	TRUE	yes
S001_1_4_3	4	Nederlands	"{""sql"":""select mutation, proportion() from aa_mutations where lineage = 'B.1.1.7' group by mutation having proportion() > 0.9;""}"	json	"select mutation, proportion() from aa_mutations where lineage = 'B.1.1.7' group by mutation having proportion() > 0.9;"	TRUE	yes
S001_1_5_1	5	Nederlands	"{""sql"":""select count(*) from metadata where aa_S_501 = 'Y' and (aa_S_69 = '-' or aa_S_70 = '-');""}"	json	select count(*) from metadata where aa_S_501 = 'Y' and (aa_S_69 = '-' or aa_S_70 = '-');	TRUE	yes
S001_1_5_2	5	Nederlands	"{""sql"":""select count(*) from metadata where aa_S_501 = 'Y' and (aa_S_69 = '-' or aa_S_70 = '-');""}"	json	select count(*) from metadata where aa_S_501 = 'Y' and (aa_S_69 = '-' or aa_S_70 = '-');	TRUE	yes
S001_1_5_3	5	Nederlands	"{""sql"":""select count(*) from metadata where aa_S_501 = 'Y' and (aa_S_69 = '-' or aa_S_70 = '-');""}"	json	select count(*) from metadata where aa_S_501 = 'Y' and (aa_S_69 = '-' or aa_S_70 = '-');	TRUE	yes
S001_1_6_1	6	Nederlands	"{""sql"":""select division, date from metadata where lineage = 'XBB.1' and country = 'USA' order by date limit 1;""}"	json	"select division, date from metadata where lineage = 'XBB.1' and country = 'USA' order by date limit 1;"	TRUE	yes
S001_1_6_2	6	Nederlands	"{""sql"":""select division, date from metadata where lineage = 'XBB.1' and country = 'USA' order by date limit 1;""}"	json	"select division, date from metadata where lineage = 'XBB.1' and country = 'USA' order by date limit 1;"	TRUE	yes
S001_1_6_3	6	Nederlands	"{""sql"":""select division, min(date) from metadata where lineage = 'XBB.1' and country = 'USA' group by division order by min(date) limit 1;""}"	json	"select division, min(date) from metadata where lineage = 'XBB.1' and country = 'USA' group by division order by min(date) limit 1;"	FALSE	yes
