question_id	scope
RW_445	not_supported
RW_446	out_of_scope_or_unclear
RW_447	supported
RW_448	supported
RW_449	supported
RW_450	supported
RW_451	not_supported
RW_452	supported
RW_453	out_of_scope_or_unclear
RW_454	supported
RW_455	out_of_scope_or_unclear
RW_456	not_supported
RW_457	supported
RW_458	out_of_scope_or_unclear
RW_459	out_of_scope_or_unclear
RW_460	supported
RW_461	supported
RW_462	supported
RW_463	out_of_scope_or_unclear
RW_464	out_of_scope_or_unclear
RW_465	not_supported
RW_466	not_supported
RW_467	out_of_scope_or_unclear
RW_468	out_of_scope_or_unclear
RW_469	out_of_scope_or_unclear
RW_470	out_of_scope_or_unclear
RW_472	supported
RW_473	supported
RW_474	supported
RW_475	out_of_scope_or_unclear
RW_476	supported
RW_477	supported
RW_478	not_supported
RW_479	out_of_scope_or_unclear
RW_480	out_of_scope_or_unclear
RW_481	not_supported
RW_482	out_of_scope_or_unclear
RW_484	out_of_scope_or_unclear
RW_485	out_of_scope_or_unclear
RW_486	out_of_scope_or_unclear
RW_487	out_of_scope_or_unclear
RW_488	out_of_scope_or_unclear
RW_490	not_supported
RW_491	out_of_scope_or_unclear
RW_493	out_of_scope_or_unclear
RW_494	out_of_scope_or_unclear
RW_496	out_of_scope_or_unclear
RW_497	not_supported
RW_498	out_of_scope_or_unclear
RW_499	not_supported
RW_500	out_of_scope_or_unclear
RW_501	supported
RW_503	out_of_scope_or_unclear
RW_504	out_of_scope_or_unclear
RW_505	out_of_scope_or_unclear
RW_509	not_supported
RW_510	supported
RW_511	supported
RW_512	out_of_scope_or_unclear
RW_513	out_of_scope_or_unclear
RW_514	supported
RW_515	supported
RW_516	supported
RW_517	supported
RW_518	supported
RW_526	supported
RW_528	out_of_scope_or_unclear
RW_529	out_of_scope_or_unclear
RW_530	out_of_scope_or_unclear
RW_531	not_supported
RW_532	out_of_scope_or_unclear
RW_533	not_supported
RW_534	not_supported
RW_535	not_supported
RW_536	supported
RW_537	out_of_scope_or_unclear
RW_538	supported
RW_539	out_of_scope_or_unclear
RW_540	out_of_scope_or_unclear
RW_541	out_of_scope_or_unclear
RW_542	out_of_scope_or_unclear
RW_543	out_of_scope_or_unclear
RW_544	not_supported
RW_545	out_of_scope_or_unclear
RW_546	out_of_scope_or_unclear
RW_547	out_of_scope_or_unclear
RW_548	supported
RW_549	not_supported
RW_550	out_of_scope_or_unclear
RW_551	supported
RW_552	out_of_scope_or_unclear
RW_553	out_of_scope_or_unclear
RW_556	out_of_scope_or_unclear
RW_557	supported
RW_558	not_supported
RW_559	not_supported
RW_560	supported
RW_561	supported
RW_562	supported
RW_563	not_supported
RW_564	supported
RW_565	supported
RW_566	supported
RW_567	supported
RW_568	supported
RW_569	not_supported
RW_570	not_supported
RW_571	supported
RW_572	supported
RW_573	supported
RW_574	supported
RW_575	out_of_scope_or_unclear
RW_576	supported
RW_577	out_of_scope_or_unclear
RW_578	out_of_scope_or_unclear
RW_579	supported
RW_580	out_of_scope_or_unclear
RW_581	out_of_scope_or_unclear
RW_583	out_of_scope_or_unclear
RW_584	out_of_scope_or_unclear
RW_585	out_of_scope_or_unclear
RW_586	out_of_scope_or_unclear
RW_587	out_of_scope_or_unclear
RW_588	out_of_scope_or_unclear
RW_590	out_of_scope_or_unclear
RW_591	out_of_scope_or_unclear
RW_592	out_of_scope_or_unclear
RW_593	not_supported
RW_594	out_of_scope_or_unclear
RW_597	out_of_scope_or_unclear
RW_598	out_of_scope_or_unclear
RW_599	out_of_scope_or_unclear
RW_600	out_of_scope_or_unclear
RW_601	out_of_scope_or_unclear
RW_602	out_of_scope_or_unclear
RW_603	out_of_scope_or_unclear
RW_604	out_of_scope_or_unclear
RW_605	out_of_scope_or_unclear
RW_606	supported
RW_607	out_of_scope_or_unclear
RW_608	not_supported
RW_609	supported
RW_610	out_of_scope_or_unclear
RW_611	supported
RW_612	out_of_scope_or_unclear
RW_613	supported
RW_615	not_supported
RW_616	supported
RW_617	supported
RW_618	supported
RW_619	supported
RW_620	supported
RW_621	supported
RW_622	supported
RW_623	supported
RW_624	supported
RW_625	not_supported
RW_626	out_of_scope_or_unclear
RW_627	out_of_scope_or_unclear
RW_628	supported
RW_629	out_of_scope_or_unclear
RW_630	not_supported
RW_632	supported
RW_633	supported
RW_635	supported
RW_637	not_supported
RW_638	not_supported
RW_640	out_of_scope_or_unclear
RW_641	not_supported
RW_642	not_supported
RW_643	supported
RW_644	supported
RW_645	supported
RW_646	out_of_scope_or_unclear
RW_647	supported
RW_648	out_of_scope_or_unclear
RW_650	not_supported
RW_651	not_supported
RW_652	out_of_scope_or_unclear
RW_653	out_of_scope_or_unclear
RW_654	not_supported
RW_655	out_of_scope_or_unclear
RW_656	out_of_scope_or_unclear
RW_657	out_of_scope_or_unclear
RW_658	out_of_scope_or_unclear
RW_659	supported
RW_660	not_supported
RW_661	not_supported
RW_662	not_supported
RW_663	supported
RW_664	supported
RW_665	supported
RW_666	not_supported
RW_667	supported
RW_668	supported
RW_669	supported
RW_670	out_of_scope_or_unclear
RW_671	out_of_scope_or_unclear
RW_672	out_of_scope_or_unclear
RW_673	supported
RW_674	out_of_scope_or_unclear
RW_675	supported
RW_676	supported
RW_677	supported
RW_678	supported
RW_679	supported
RW_680	not_supported
RW_681	not_supported
RW_682	not_supported
RW_683	not_supported
RW_685	out_of_scope_or_unclear
RW_686	not_supported
RW_687	not_supported
RW_689	supported
RW_691	out_of_scope_or_unclear
RW_692	not_supported
RW_693	not_supported
RW_694	not_supported
RW_695	out_of_scope_or_unclear
RW_696	supported
RW_697	out_of_scope_or_unclear
RW_698	supported
RW_699	supported
RW_700	not_supported
RW_701	not_supported
RW_702	not_supported
RW_703	out_of_scope_or_unclear
RW_704	supported
RW_705	not_supported
RW_707	out_of_scope_or_unclear
RW_708	out_of_scope_or_unclear
RW_709	out_of_scope_or_unclear
RW_710	supported
RW_711	supported
RW_712	not_supported
RW_713	out_of_scope_or_unclear
RW_714	out_of_scope_or_unclear
RW_715	not_supported
RW_716	supported
RW_717	supported
RW_718	not_supported
RW_719	out_of_scope_or_unclear
RW_720	out_of_scope_or_unclear
RW_721	not_supported
RW_722	out_of_scope_or_unclear
RW_725	not_supported
RW_726	supported
RW_727	not_supported
RW_728	supported
RW_729	not_supported
RW_730	supported
RW_731	supported
RW_732	supported
RW_733	supported
RW_734	supported
RW_735	supported
RW_736	supported
RW_739	supported
RW_740	supported
RW_741	supported
RW_742	supported
RW_743	not_supported
RW_744	not_supported
RW_745	supported
RW_746	supported
RW_747	supported
RW_748	supported
RW_749	supported
RW_750	supported
RW_751	supported
RW_752	supported
RW_753	supported
RW_754	supported
RW_755	supported
RW_756	supported
RW_757	supported
RW_758	supported
RW_759	supported
RW_760	supported
RW_761	supported
RW_762	supported
RW_763	supported
RW_764	not_supported
RW_765	not_supported
RW_768	supported
RW_769	supported
RW_770	out_of_scope_or_unclear
RW_771	out_of_scope_or_unclear
RW_772	not_supported
RW_773	out_of_scope_or_unclear
RW_774	out_of_scope_or_unclear
RW_775	supported
RW_776	out_of_scope_or_unclear
RW_777	not_supported
RW_778	not_supported
RW_779	out_of_scope_or_unclear
RW_780	supported
RW_781	out_of_scope_or_unclear
RW_782	out_of_scope_or_unclear
RW_783	not_supported
RW_784	out_of_scope_or_unclear
RW_785	out_of_scope_or_unclear
RW_786	out_of_scope_or_unclear
RW_790	not_supported
RW_791	not_supported
RW_792	out_of_scope_or_unclear
RW_793	out_of_scope_or_unclear
RW_794	out_of_scope_or_unclear
RW_795	out_of_scope_or_unclear
RW_796	out_of_scope_or_unclear
